# Frontend Fetch Map
Generated: 20260524_v1

Total caller entries: 458

| frontend_path | kind | file | line |
| `/api/dashboard/v5/payload` | fetch | `frontend/operator_dashboard/v5/dashboard_v5.js` | 3 |
| `/api/desktop-app/status` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 1194 |
| `/api/enhanced-interface/status` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 1210 |
| `/api/evaluate/async` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 823 |
| `/api/evidence/governed/actions` | endpoint_literal | `frontend/cockpit/assets/claire_governed_evidence_cards.js` | 131 |
| `/api/evidence/governed/cards` | endpoint_literal | `frontend/cockpit/assets/claire_governed_evidence_cards.js` | 130 |
| `/api/evidence/governed/status` | endpoint_literal | `frontend/cockpit/assets/claire_governed_evidence_cards.js` | 129 |
| `/api/evidence/quarantine/payload` | endpoint_literal | `frontend/cockpit/assets/claire_governed_quarantine_and_metadata_results.js` | 57 |
| `/api/evidence/source/intake` | endpoint_literal | `frontend/cockpit/assets/claire_governed_search_intake_and_query_compiler.js` | 4 |
| `/api/feeds/activation-check` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 919 |
| `/api/feeds/activation-status` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 906 |
| `/api/feeds/audit` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 933 |
| `/api/feeds/live-orchestration/run` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 1295 |
| `/api/feeds/live-orchestration/status` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 1195 |
| `/api/feeds/live-source-catalog/health-check` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 1027 |
| `/api/feeds/live-source-catalog/resolve` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 1012 |
| `/api/feeds/live-source-catalog/status` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 999 |
| `/api/feeds/offline-universe/resolve` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 968 |
| `/api/feeds/offline-universe/status` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 966 |
| `/api/feeds/public-company-live/scan` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 1156 |
| `/api/feeds/public-company-live/status` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 1040 |
| `/api/feeds/public-company-sources` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 949 |
| `/api/feeds/status` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 857 |
| `/api/governance/audit` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 890 |
| `/api/governance/evaluate` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 876 |
| `/api/governed/live-probe/status` | endpoint_literal | `frontend/command_center/modern/claire_dashboard.js` | 1337 |
| `/api/health` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 14 |
| `/api/health` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 1192 |
| `/api/internet/fetch/controlled` | endpoint_literal | `frontend/cockpit/shell/assets/claire_modern_cockpit.js` | 1 |
| `/api/internet/live-metadata/run` | endpoint_literal | `frontend/cockpit/shell/assets/claire_modern_cockpit.js` | 1 |
| `/api/internet/live-toggle/preflight` | endpoint_literal | `frontend/cockpit/shell/assets/claire_modern_cockpit.js` | 1 |
